[2026-02-20 15:23:58] Kalshi Scanner Bot starting...
[2026-02-20 15:23:58] PID: 12784
[2026-02-20 15:40:31] Current balance: $0.30
[2026-02-20 15:40:34] Current balance: $0.30
[2026-02-20 15:40:40] Kalshi Scanner Bot starting...
[2026-02-20 15:40:40] PID: 84340
[2026-02-20 15:40:59] Current balance: $0.30
[2026-02-20 15:41:01] Current balance: $0.30
[2026-02-20 15:41:01] Current balance: $0.30
[2026-02-20 15:41:03] Current balance: $0.30
[2026-02-20 15:41:07] Current balance: $0.30
[2026-02-20 15:41:34] Current balance: $0.30
[2026-02-20 15:41:55] Current balance: $0.27
[2026-02-20 15:41:56] Current balance: $0.27
[2026-02-20 15:41:58] Current balance: $0.27
[2026-02-20 15:42:01] Current balance: $0.27
[2026-02-20 15:42:34] Current balance: $0.27
[2026-02-20 15:42:54] Current balance: $0.27
[2026-02-20 15:42:55] Current balance: $0.27
[2026-02-20 15:42:59] Current balance: $0.27
[2026-02-20 15:43:04] Current balance: $0.27
[2026-02-20 15:43:25] Current balance: $0.27
[2026-02-20 15:43:41] Current balance: $0.27
[2026-02-20 15:43:43] Current balance: $0.27
[2026-02-20 15:43:48] Current balance: $0.27
[2026-02-20 15:43:51] Current balance: $0.27
[2026-02-20 15:44:08] Current balance: $0.27
[2026-02-20 15:44:22] Current balance: $0.27
[2026-02-20 15:44:23] Current balance: $0.27
[2026-02-20 15:44:31] Current balance: $0.27
[2026-02-20 15:44:38] Current balance: $0.27
[2026-02-20 15:44:45] Current balance: $0.27
[2026-02-20 15:44:58] Current balance: $0.27
[2026-02-20 15:44:59] Current balance: $0.27
[2026-02-20 15:45:04] Current balance: $0.27
[2026-02-20 15:45:17] Current balance: $0.27
[2026-02-20 15:45:25] Current balance: $0.27
[2026-02-20 15:45:36] Current balance: $0.27
[2026-02-20 15:45:38] Current balance: $0.27
[2026-02-20 15:45:44] Current balance: $0.27
[2026-02-20 15:45:56] Current balance: $0.27
[2026-02-20 15:46:15] Current balance: $0.27
[2026-02-20 15:46:16] Current balance: $0.27
[2026-02-20 15:46:21] Current balance: $0.27
[2026-02-20 15:46:27] Current balance: $0.27
[2026-02-20 15:46:35] Current balance: $0.27
[2026-02-20 15:46:36] Current balance: $0.27
[2026-02-20 15:46:37] Current balance: $0.27
[2026-02-20 15:46:38] Current balance: $0.27
[2026-02-20 15:46:43] Received signal 2, shutting down...
[2026-02-20 15:46:43] Received signal 2, shutting down...
[2026-02-20 15:46:43] Received signal 2, shutting down...
[2026-02-20 15:46:46] Kalshi Scanner Bot stopped
[2026-02-20 15:46:46] Current balance: $0.27
[2026-02-20 15:46:47] Kalshi Scanner Bot stopped
[2026-02-20 15:46:48] Kalshi Scanner Bot stopped
[2026-02-20 15:46:57] Current balance: $0.27
[2026-02-20 15:47:08] Current balance: $0.27
[2026-02-20 15:47:18] Current balance: $0.27
[2026-02-20 15:47:29] Current balance: $0.27
[2026-02-20 15:47:40] Current balance: $0.27
[2026-02-20 15:47:50] Current balance: $0.27
[2026-02-20 15:48:01] Current balance: $0.27
[2026-02-20 15:48:12] Current balance: $0.27
[2026-02-20 15:48:22] Current balance: $0.27
[2026-02-20 15:48:33] Current balance: $0.27
[2026-02-20 15:48:44] Current balance: $0.27
[2026-02-20 15:48:55] Current balance: $0.27
[2026-02-20 15:49:06] Current balance: $0.27
[2026-02-20 15:49:16] Current balance: $0.27
[2026-02-20 15:49:27] Current balance: $0.27
[2026-02-20 15:49:38] Current balance: $0.27
[2026-02-20 15:49:49] Current balance: $0.27
[2026-02-20 15:50:00] Current balance: $0.27
[2026-02-20 15:50:12] Current balance: $0.27
[2026-02-20 15:50:23] Current balance: $0.27
[2026-02-20 15:50:35] Current balance: $0.27
[2026-02-20 15:50:46] Current balance: $0.27
[2026-02-20 15:50:57] Current balance: $0.27
[2026-02-20 15:51:08] Current balance: $0.27
[2026-02-20 15:51:19] Current balance: $0.27
[2026-02-20 15:51:30] Current balance: $0.27
[2026-02-20 15:51:41] Current balance: $0.27
[2026-02-20 15:51:51] Current balance: $0.27
[2026-02-20 15:52:02] Current balance: $0.27
[2026-02-20 15:52:13] Current balance: $0.27
[2026-02-20 15:52:24] Current balance: $0.27
[2026-02-20 15:52:35] Current balance: $0.27
[2026-02-20 15:52:46] Current balance: $0.27
[2026-02-20 15:52:57] Current balance: $0.27
[2026-02-20 15:53:08] Current balance: $0.27
[2026-02-20 15:53:19] Current balance: $0.27
[2026-02-20 15:53:30] Current balance: $0.27
[2026-02-20 15:53:41] Current balance: $0.27
[2026-02-20 15:53:52] Current balance: $0.27
[2026-02-20 15:54:03] Current balance: $0.27
[2026-02-20 15:54:14] Current balance: $0.27
[2026-02-20 15:54:25] Current balance: $0.27
[2026-02-20 15:54:36] Current balance: $0.27
[2026-02-20 15:54:47] Current balance: $0.27
[2026-02-20 15:54:58] Current balance: $0.27
[2026-02-20 15:55:09] Current balance: $0.27
[2026-02-20 15:55:20] Current balance: $0.27
[2026-02-20 15:55:31] Current balance: $0.27
[2026-02-20 15:55:43] Current balance: $0.27
[2026-02-20 15:55:55] Current balance: $0.27
[2026-02-20 15:56:09] Current balance: $0.27
[2026-02-20 15:56:20] Current balance: $0.27
[2026-02-20 15:56:32] Current balance: $0.27
[2026-02-20 15:56:44] Current balance: $0.27
[2026-02-20 15:56:56] Current balance: $0.27
[2026-02-20 15:57:07] Current balance: $0.27
[2026-02-20 15:57:18] Current balance: $0.27
[2026-02-20 15:57:29] Current balance: $0.27
[2026-02-20 15:57:40] Current balance: $0.27
[2026-02-20 15:57:51] Current balance: $0.27
[2026-02-20 15:58:01] Current balance: $0.27
[2026-02-20 15:58:12] Current balance: $0.27
[2026-02-20 15:58:23] Current balance: $0.27
[2026-02-20 15:58:34] Current balance: $0.27
[2026-02-20 15:58:46] Current balance: $0.27
[2026-02-20 15:58:57] Current balance: $0.27
[2026-02-20 15:59:08] Current balance: $0.27
[2026-02-20 15:59:19] Current balance: $0.27
[2026-02-20 15:59:29] Current balance: $0.27
[2026-02-20 15:59:40] Current balance: $0.27
[2026-02-20 15:59:51] Current balance: $0.27
[2026-02-20 16:00:02] Current balance: $0.27
[2026-02-20 16:00:13] Current balance: $0.27
[2026-02-20 16:00:24] Current balance: $0.27
[2026-02-20 16:00:35] Current balance: $0.27
[2026-02-20 16:00:46] Current balance: $0.27
[2026-02-20 16:00:56] Current balance: $0.27
[2026-02-20 16:01:07] Current balance: $0.27
[2026-02-20 16:01:18] Current balance: $0.27
[2026-02-20 16:01:29] Current balance: $0.27
[2026-02-20 16:01:40] Current balance: $0.27
[2026-02-20 16:01:51] Current balance: $0.27
[2026-02-20 16:02:01] Current balance: $0.27
[2026-02-20 16:02:12] Current balance: $0.27
[2026-02-20 16:02:24] Current balance: $0.27
[2026-02-20 16:02:35] Current balance: $0.27
[2026-02-20 16:02:46] Current balance: $0.27
[2026-02-20 16:02:57] Current balance: $0.27
[2026-02-20 16:03:08] Current balance: $0.27
[2026-02-20 16:03:18] Current balance: $0.27
[2026-02-20 16:03:29] Current balance: $0.27
[2026-02-20 16:03:40] Current balance: $0.27
[2026-02-20 16:03:51] Current balance: $0.27
[2026-02-20 16:04:34] Current balance: $0.27
[2026-02-20 16:04:45] Current balance: $0.27
[2026-02-20 16:04:56] Current balance: $0.27
[2026-02-20 16:05:07] Current balance: $0.27
[2026-02-20 16:05:18] Current balance: $0.27
[2026-02-20 16:05:29] Current balance: $0.27
[2026-02-20 16:05:40] Current balance: $0.27
[2026-02-20 16:05:51] Current balance: $0.27
[2026-02-20 16:06:02] Current balance: $0.27
[2026-02-20 16:06:12] Current balance: $0.27
[2026-02-20 16:06:23] Current balance: $0.27
[2026-02-20 16:06:34] Current balance: $0.27
[2026-02-20 16:06:45] Current balance: $0.27
[2026-02-20 16:06:56] Current balance: $0.27
[2026-02-20 16:07:07] Current balance: $0.27
[2026-02-20 16:07:18] Current balance: $0.27
[2026-02-20 16:07:29] Current balance: $0.27
[2026-02-20 16:07:40] Current balance: $0.27
[2026-02-20 16:07:52] Current balance: $0.27
[2026-02-20 16:08:03] Current balance: $0.27
[2026-02-20 16:08:15] Current balance: $0.27
[2026-02-20 16:08:28] Current balance: $0.27
[2026-02-20 16:08:40] Current balance: $0.27
[2026-02-20 16:08:51] Current balance: $0.27
[2026-02-20 16:09:03] Current balance: $0.27
[2026-02-20 16:09:15] Current balance: $0.27
[2026-02-20 16:09:27] Current balance: $0.27
[2026-02-20 16:09:39] Current balance: $0.27
[2026-02-20 16:09:50] Current balance: $0.27
[2026-02-20 16:10:01] Current balance: $0.27
[2026-02-20 16:10:13] Current balance: $0.27
[2026-02-20 16:10:24] Current balance: $0.27
[2026-02-20 16:10:39] Current balance: $0.27
[2026-02-20 16:10:51] Current balance: $0.27
[2026-02-20 16:11:02] Current balance: $0.27
[2026-02-20 16:11:13] Current balance: $0.27
[2026-02-20 16:11:24] Current balance: $0.27
[2026-02-20 16:11:36] Current balance: $0.27
[2026-02-20 16:11:47] Current balance: $0.27
[2026-02-20 16:11:57] Current balance: $0.27
[2026-02-20 16:12:08] Current balance: $0.27
[2026-02-20 16:12:19] Current balance: $0.27
[2026-02-20 16:12:31] Current balance: $0.27
[2026-02-20 16:12:42] Current balance: $0.27
[2026-02-20 16:12:53] Current balance: $0.27
[2026-02-20 16:13:04] Current balance: $0.27
[2026-02-20 16:13:15] Current balance: $0.27
[2026-02-20 16:13:26] Current balance: $0.27
[2026-02-20 16:13:37] Current balance: $0.27
[2026-02-20 16:13:48] Current balance: $0.27
[2026-02-20 16:13:59] Current balance: $0.27
[2026-02-20 16:14:10] Current balance: $0.27
[2026-02-20 16:14:22] Current balance: $0.27
[2026-02-20 16:14:34] Current balance: $0.27
[2026-02-20 16:14:46] Current balance: $0.27
[2026-02-20 16:14:56] Current balance: $0.27
[2026-02-20 16:15:07] Current balance: $0.27
[2026-02-20 16:15:18] Current balance: $0.27
[2026-02-20 16:15:29] Current balance: $0.27
[2026-02-20 16:15:40] Current balance: $0.27
[2026-02-20 16:15:51] Current balance: $0.27
[2026-02-20 16:16:01] Current balance: $0.27
[2026-02-20 16:16:12] Current balance: $0.27
[2026-02-20 16:16:23] Current balance: $0.27
[2026-02-20 16:16:34] Current balance: $0.27
[2026-02-20 16:16:45] Current balance: $0.27
[2026-02-20 16:16:56] Current balance: $0.27
[2026-02-20 16:17:07] Current balance: $0.27
[2026-02-20 16:17:18] Current balance: $0.27
[2026-02-20 16:17:29] Current balance: $0.27
[2026-02-20 16:17:40] Current balance: $0.27
[2026-02-20 16:17:51] Current balance: $0.27
[2026-02-20 16:18:02] Current balance: $0.27
[2026-02-20 16:18:13] Current balance: $0.27
[2026-02-20 16:18:24] Current balance: $0.27
[2026-02-20 16:18:36] Current balance: $0.27
[2026-02-20 16:18:47] Current balance: $0.27
[2026-02-20 16:18:58] Current balance: $0.27
[2026-02-20 16:19:09] Current balance: $0.27
[2026-02-20 16:19:20] Current balance: $0.27
[2026-02-20 16:19:31] Current balance: $0.27
[2026-02-20 16:19:42] Current balance: $0.27
[2026-02-20 16:19:53] Current balance: $0.27
[2026-02-20 16:20:04] Current balance: $0.27
[2026-02-20 16:20:14] Current balance: $0.27
[2026-02-20 16:20:25] Current balance: $0.27
[2026-02-20 16:20:36] Current balance: $0.27
[2026-02-20 16:20:47] Current balance: $0.27
[2026-02-20 16:20:58] Current balance: $0.27
[2026-02-20 16:21:09] Current balance: $0.27
[2026-02-20 16:21:20] Current balance: $0.27
[2026-02-20 16:21:30] Current balance: $0.27
[2026-02-20 16:21:42] Current balance: $0.27
[2026-02-20 16:21:53] Current balance: $0.27
[2026-02-20 16:22:03] Current balance: $0.27
[2026-02-20 16:22:15] Current balance: $0.27
[2026-02-20 16:22:26] Current balance: $0.27
[2026-02-20 16:22:37] Current balance: $0.27
[2026-02-20 16:22:48] Current balance: $0.27
[2026-02-20 16:22:59] Current balance: $0.27
[2026-02-20 16:23:10] Current balance: $0.27
[2026-02-20 16:23:20] Current balance: $0.27
[2026-02-20 16:23:31] Current balance: $0.27
[2026-02-20 16:23:42] Current balance: $0.27
[2026-02-20 16:23:53] Current balance: $0.27
[2026-02-20 16:24:04] Current balance: $0.27
[2026-02-20 16:24:15] Current balance: $0.27
[2026-02-20 16:24:26] Current balance: $0.27
[2026-02-20 16:24:37] Current balance: $0.27
[2026-02-20 16:24:47] Current balance: $0.27
[2026-02-20 16:24:58] Current balance: $0.27
[2026-02-20 16:25:09] Current balance: $0.27
[2026-02-20 16:25:20] Current balance: $0.27
[2026-02-20 16:25:31] Current balance: $0.27
[2026-02-20 16:25:42] Current balance: $0.27
[2026-02-20 16:25:54] Current balance: $0.27
[2026-02-20 16:26:06] Current balance: $0.27
[2026-02-20 16:26:17] Current balance: $0.27
[2026-02-20 16:26:28] Current balance: $0.27
[2026-02-20 16:26:40] Current balance: $0.27
[2026-02-20 16:26:52] Current balance: $0.27
[2026-02-20 16:27:03] Current balance: $0.27
[2026-02-20 16:27:15] Current balance: $0.27
[2026-02-20 16:27:26] Current balance: $0.27
[2026-02-20 16:27:37] Current balance: $0.27
[2026-02-20 16:27:48] Current balance: $0.27
[2026-02-20 16:27:58] Current balance: $0.27
[2026-02-20 16:28:09] Current balance: $0.27
[2026-02-20 16:28:20] Current balance: $0.27
[2026-02-20 16:28:31] Current balance: $0.27
[2026-02-20 16:28:42] Current balance: $0.27
[2026-02-20 16:28:53] Current balance: $0.27
[2026-02-20 16:29:03] Current balance: $0.27
[2026-02-20 16:29:15] Current balance: $0.27
[2026-02-20 16:29:26] Current balance: $0.27
[2026-02-20 16:29:36] Current balance: $0.27
[2026-02-20 16:29:47] Current balance: $0.27
[2026-02-20 16:29:58] Current balance: $0.27
[2026-02-20 16:30:09] Current balance: $0.27
[2026-02-20 16:30:20] Current balance: $0.27
[2026-02-20 16:30:31] Current balance: $0.27
[2026-02-20 16:30:42] Current balance: $0.27
[2026-02-20 16:30:53] Current balance: $0.27
[2026-02-20 16:31:04] Current balance: $0.27
[2026-02-20 16:31:15] Current balance: $0.27
[2026-02-20 16:31:26] Current balance: $0.27
[2026-02-20 16:31:37] Current balance: $0.27
[2026-02-20 16:31:47] Current balance: $0.27
[2026-02-20 16:31:58] Current balance: $0.27
[2026-02-20 16:32:09] Current balance: $0.27
[2026-02-20 16:32:19] Current balance: $0.27
[2026-02-20 16:32:30] Current balance: $0.27
[2026-02-20 16:32:40] Current balance: $0.27
[2026-02-20 16:32:51] Current balance: $0.27
[2026-02-20 16:33:01] Current balance: $0.27
[2026-02-20 16:33:12] Current balance: $0.27
[2026-02-20 16:33:23] Current balance: $0.27
[2026-02-20 16:33:34] Current balance: $0.27
[2026-02-20 16:33:44] Current balance: $0.27
[2026-02-20 16:33:55] Current balance: $0.27
[2026-02-20 16:34:06] Current balance: $0.27
[2026-02-20 16:34:17] Current balance: $0.27
[2026-02-20 16:34:28] Current balance: $0.27
[2026-02-20 16:34:40] Current balance: $0.27
[2026-02-20 16:34:51] Current balance: $0.27
[2026-02-20 16:35:02] Current balance: $0.27
[2026-02-20 16:35:13] Current balance: $0.27
[2026-02-20 16:35:24] Current balance: $0.27
[2026-02-20 16:35:35] Current balance: $0.27
[2026-02-20 16:35:46] Current balance: $0.27
[2026-02-20 16:35:57] Current balance: $0.27
[2026-02-20 16:36:08] Current balance: $0.27
[2026-02-20 16:36:19] Current balance: $0.27
[2026-02-20 16:36:30] Current balance: $0.27
[2026-02-20 16:36:41] Current balance: $0.27
[2026-02-20 16:36:52] Current balance: $0.27
[2026-02-20 16:37:03] Current balance: $0.27
[2026-02-20 16:37:14] Current balance: $0.27
[2026-02-20 16:37:25] Current balance: $0.27
[2026-02-20 16:37:36] Current balance: $0.27
[2026-02-20 16:37:47] Current balance: $0.27
[2026-02-20 16:37:58] Current balance: $0.27
[2026-02-20 16:38:09] Current balance: $0.27
[2026-02-20 16:38:20] Current balance: $0.27
[2026-02-20 16:38:33] Current balance: $0.27
[2026-02-20 16:38:45] Current balance: $0.27
[2026-02-20 16:38:56] Current balance: $0.27
[2026-02-20 16:39:06] Current balance: $0.27
[2026-02-20 16:39:17] Current balance: $0.27
[2026-02-20 16:39:28] Current balance: $0.27
[2026-02-20 16:39:40] Current balance: $0.27
[2026-02-20 16:39:51] Current balance: $0.27
[2026-02-20 16:40:02] Current balance: $0.27
[2026-02-20 16:40:12] Current balance: $0.27
[2026-02-20 16:40:23] Current balance: $0.27
[2026-02-20 16:40:35] Current balance: $0.27
[2026-02-20 16:40:46] Current balance: $0.27
[2026-02-20 16:40:56] Current balance: $0.27
[2026-02-20 16:41:07] Current balance: $0.27
[2026-02-20 16:41:18] Current balance: $0.27
[2026-02-20 16:41:32] Current balance: $0.27
[2026-02-20 16:41:43] Current balance: $0.27
[2026-02-20 16:41:54] Current balance: $0.27
[2026-02-20 16:42:05] Current balance: $0.27
[2026-02-20 16:42:16] Current balance: $0.27
[2026-02-20 16:42:27] Current balance: $0.27
[2026-02-20 16:42:38] Current balance: $0.27
[2026-02-20 16:42:51] Current balance: $0.27
[2026-02-20 16:43:03] Current balance: $0.27
[2026-02-20 16:43:15] Current balance: $0.27
[2026-02-20 16:43:27] Current balance: $0.27
[2026-02-20 16:43:43] Current balance: $0.27
[2026-02-20 16:43:54] Current balance: $0.27
[2026-02-20 16:44:06] Current balance: $0.27
[2026-02-20 16:44:17] Current balance: $0.27
[2026-02-20 16:44:32] Current balance: $0.27
[2026-02-20 16:44:43] Current balance: $0.27
[2026-02-20 16:44:56] Current balance: $0.27
[2026-02-20 16:45:07] Current balance: $0.27
[2026-02-20 16:45:18] Current balance: $0.27
[2026-02-20 16:45:29] Current balance: $0.27
[2026-02-20 16:45:40] Current balance: $0.27
[2026-02-20 16:45:51] Current balance: $0.27
[2026-02-20 16:46:02] Current balance: $0.27
[2026-02-20 16:46:13] Current balance: $0.27
[2026-02-20 16:46:24] Current balance: $0.27
[2026-02-20 16:46:35] Current balance: $0.27
[2026-02-20 16:46:46] Current balance: $0.27
[2026-02-20 16:46:57] Current balance: $0.27
[2026-02-20 16:47:08] Current balance: $0.27
[2026-02-20 16:47:20] Current balance: $0.27
[2026-02-20 16:47:31] Current balance: $0.27
[2026-02-20 16:47:42] Current balance: $0.27
[2026-02-20 16:47:53] Current balance: $0.27
[2026-02-20 16:48:04] Current balance: $0.27
[2026-02-20 16:48:15] Current balance: $0.27
[2026-02-20 16:48:26] Current balance: $0.27
[2026-02-20 16:48:37] Current balance: $0.27
[2026-02-20 16:48:48] Current balance: $0.27
[2026-02-20 16:49:02] Current balance: $0.27
[2026-02-20 16:49:12] Current balance: $0.27
[2026-02-20 16:49:23] Current balance: $0.27
[2026-02-20 16:49:34] Current balance: $0.27
[2026-02-20 16:49:45] Current balance: $0.27
[2026-02-20 16:49:56] Current balance: $0.27
[2026-02-20 16:50:08] Current balance: $0.27
[2026-02-20 16:50:19] Current balance: $0.27
[2026-02-20 16:50:31] Current balance: $0.27
[2026-02-20 16:50:42] Current balance: $0.27
[2026-02-20 16:50:53] Current balance: $0.27
[2026-02-20 16:51:04] Current balance: $0.27
[2026-02-20 16:51:15] Current balance: $0.27
[2026-02-20 16:51:26] Current balance: $0.27
[2026-02-20 16:51:37] Current balance: $0.27
[2026-02-20 16:51:48] Current balance: $0.27
[2026-02-20 16:51:59] Current balance: $0.27
[2026-02-20 16:52:11] Current balance: $0.27
[2026-02-20 16:52:22] Current balance: $0.27
[2026-02-20 16:52:33] Current balance: $0.27
[2026-02-20 16:52:44] Current balance: $0.27
[2026-02-20 16:52:55] Current balance: $0.27
[2026-02-20 16:53:06] Current balance: $0.27
[2026-02-20 16:53:17] Current balance: $0.27
[2026-02-20 16:53:28] Current balance: $0.27
